Species	Group.x	Median_S.x	LCI_S.x	UCI_S.x	Median_W.x	LCI_W.x	UCI_W.x	Median_diff.x	LCI_diff.x	UCI_diff.x	Group.y	Median_S.y	LCI_S.y	UCI_S.y	Median_W.y	LCI_W.y	UCI_W.y	Median_diff.y	LCI_diff.y	UCI_diff.y	Group	Median_S	LCI_S	UCI_S	Median_W	LCI_W	UCI_W	Median_diff	LCI_diff	UCI_diff
Orange-headed Thrush	2	49.28125	47.0871875	57.7175	45.21625	42.5	47.81625	4.73500000000001	0.391562499999999	12.725625	2	864.875	826.333333333333	896.333333333333	431.625	305.390625	500.25	430.166666666667	352.74375	562.6	0	1411.75	1411.75	1411.75	1411.75	1367.93875	1411.75	0	0	43.8112500000007
House Sparrow	0	119.95	38.4996875	272.668125	116.5	32.75	209.4534375	1.84375000000003	-148.8278125	183.254166666667	2	1129.75	1073.66666666667	1179.834375	875.75	853	894	254.75	197.3125	311.377083333333	2	2248	2248	2248	2225.75	2225.475	2225.75	22.25	22.25	22.5250000000001
Chestnut-headed Bee-eater	0	73.58125	68.4958333333333	83.46625	65.3791666666667	56.036875	74	9.21666666666667	-0.283749999999985	21.0404166666667	2	1055.33333333333	1022.25	1076.503125	825.75	810.75	849.11	226.9375	186.25	262.835416666667	2	1657.13333333333	1629.29458333333	1682.94166666667	1314.975	1311.41333333333	1347.13333333333	335.403749999999	297.265833333333	368.710625
White-bellied Blue Flycatcher	2	99.05	77.3975	142.00175	55.25	55.25	55.8125	43.8	22.115	86.75175	2	996.5	968	1022.4875	789.25	702	884.646875	207.25	99.8385416666667	294.5	0	1512.7125	1447.89520833333	1553.55	1523.4375	1490.11333333333	1576.875	-19.2750000000003	-96.1726041666663	42.1912083333325
Indian Blackbird	2	595.95	467.875	757.947604166667	66.25	49.67375	91.25	523.03125	404.789375	692.241979166667	2	1782.16666666667	1761.41666666667	1814.33333333333	1085	1056.584375	1127.5	705.333333333333	652.166666666667	740.91875	2	2324.18333333333	2322.8	2324.98333333333	2175	2175	2175	149.183333333333	147.8	149.983333333333
Jungle Myna	2	371.375	252.3875	431.234375	93.9125	90.5990625	153.4690625	270.083333333333	146.3153125	334.633333333333	2	1169.625	1146	1177.33333333333	959	942	965	211.925	182.833333333333	231.74	2	2195.8125	2189.33333333333	2202.54833333333	2078.3	2073.7190625	2085.3359375	116.541666666666	106.605312499999	124.877395833333
Ashy Prinia	2	267.4375	260.2	284	143.5	131.57875	183.1175	123.410416666667	91.5609375	143.97875	2	702.666666666667	642	767.75	461.5	453.083333333333	479.5	241.166666666667	182.571875	306.25	2	2035.5	2035.5	2035.5	1968.5	1934.86666666667	2006	67	29.5000000000009	100.633333333334
Pied Bushchat	2	333.025	324.9909375	346.393125	265.75	248.666666666667	280.52125	67.8625	50.39	88.8596875	2	1459.33333333333	1442.83333333333	1505.83	873.5	851.25	911.25	588.645833333333	542.615625	644.851875	2	2248	2248	2248	2215.81666666667	2210.65	2218.35	32.1833333333334	29.6500000000001	37.3499999999999
Rufous Woodpecker	0	20.25	12.25	32.30375	12.25	11.7990625	43.8171875	0	-30.25	19.5428125	0	674.375	495.875	736.166666666667	451.333333333333	230.25	603	212.85	-41.65	458.133333333333	0	1163.515	1104.625	1189.75	1189.2	1156.8840625	1197.7375	-23.6475000000003	-85.1384375	18.5115624999999
Blue-bearded Bee-eater	2	86.7125	77.6875	113.5	54.35	50.65	77.6675	30.31875	3.60760416666668	59.75625	2	859.333333333333	702.666666666667	901.25	504.25	479.5	607.5	351.604166666667	203.933541666667	403	2	1635	1594.66666666667	1669.7	1318.79583333333	1282.473125	1344.74166666667	319.116666666666	268.762291666667	368.859270833334
Gray-breasted Prinia	1	91.25	91.25	105.070104166667	116.025	101.0475	125.25	-22.56875	-34	-2.29875000000001	2	1028	1018.5	1055.33333333333	661.8	619	734	375.833333333333	290.7375	422.40625	0	1290.66666666667	1270.5	1313.29166666667	1309.9425	1277.5353125	1366.575	-25.7183333333317	-90.75	22.7083333333326
