Species	Group.x	Median_S.x	LCI_S.x	UCI_S.x	Median_W.x	LCI_W.x	UCI_W.x	Median_diff.x	LCI_diff.x	UCI_diff.x	Group.y	Median_S.y	LCI_S.y	UCI_S.y	Median_W.y	LCI_W.y	UCI_W.y	Median_diff.y	LCI_diff.y	UCI_diff.y	Group	Median_S	LCI_S	UCI_S	Median_W	LCI_W	UCI_W	Median_diff	LCI_diff	UCI_diff
Greater Coucal	1	40.75	37.3996875	43.75	46.75	46	49.02625	-6.81875	-10.0646875	-2.3496875	2	575.5	537.5	591.75	489.25	479.5	506.25	85.8333333333333	45.7375	107.25	2	1509.725	1491.1790625	1546.25	1230.75	1230.75	1230.75	278.974999999998	260.4290625	315.5
White-browed Wagtail	0	48.3	44.5	63.04625	45.0666666666667	39.3596875	47.45125	4.07708333333334	-1.95541666666666	21.1640625	2	731	702.666666666667	749.375	657	619	702.666666666667	75	17.0833333333334	112.390625	2	1851.4	1851	1867.1875	1469.925	1459.39916666667	1479.6	382.3125	371.65	398.144375
Indian Robin	0	110	93.9475	124.726875	124.5	115.899375	143.5	-18.0166666666667	-42.4009375	6.06437499999997	0	489.25	489.25	489.25	489.25	489.25	489.6	0	-0.350000000000023	0	2	1647.9	1630.36666666667	1665.03822916667	997.325	965.179166666667	1005.5925	653.383333333333	631.441375	686.554583333333
Brown-headed Barbet	0	19.05	12.25	32.75	12.25	12.25	12.25	6.80000000000001	0	20.5	0	479.5	479.5	488.25	479.5	479.5	479.5	0	0	8.75	2	2139.33333333333	2139.33333333333	2139.67083333333	1251.45	1230.05833333333	1270.075	887.883333333334	869.258333333334	909.275
Indian Pond-Heron	0	32.75	32.75	35.2161458333333	33.5333333333333	32.75	39.0003125	-0.618750000000006	-6.25	1.3671875	1	415.5	406.25	415.5	460.75	419.333333333333	461.5	-45.75	-54.2520833333333	-6.996875	2	1603	1603	1616.225	1209.75	1209.75	1217.25	393.25	385.75	406.474999999999
Spotted Dove	0	51.8	46	60.65125	62.6666666666667	53.1316666666667	68.3333333333333	-10.73125	-19.5007291666667	3.278125	2	944	936.61875	954.25	765.666666666667	752.25	774.25	179.5625	167.741666666667	195.55125	2	2075.21875	2060.75	2088.075	1696.3	1676.5	1717.3	377.062499999999	349.350000000001	400.760000000001
Chestnut-headed Bee-eater	0	73.58125	68.4958333333333	83.46625	65.3791666666667	56.036875	74	9.21666666666667	-0.283749999999985	21.0404166666667	2	1055.33333333333	1022.25	1076.503125	825.75	810.75	849.11	226.9375	186.25	262.835416666667	2	1657.13333333333	1629.29458333333	1682.94166666667	1314.975	1311.41333333333	1347.13333333333	335.403749999999	297.265833333333	368.710625
Ashy Woodswallow	0	27.25	19.2348958333333	36.6670833333333	18	14.0334375	28.5310416666667	9.02083333333333	-4.77447916666666	19.1896875	2	559.5	490	591.75	419.333333333333	402.5	419.333333333333	140.166666666667	70.6666666666667	175.338541666667	2	1553.15	1445.560625	1577.2125	1112.725	1076.2596875	1139	430.745833333332	314.722499999994	488.201875
Nilgiri Flowerpecker	2	97.3333333333333	91.7154166666667	104.3390625	77.6666666666667	77.6666666666667	77.6666666666667	19.6666666666667	14.04875	27.6865625	2	1064.375	1058.25	1073.75	1039.25	1022.33333333333	1052	28.4166666666667	10.9156250000001	47.175	2	2035.5	2035.5	2035.5	1788.4	1788.4	1788.4	247.1	247.1	247.1
Purple Sunbird	1	32.75	32.75	32.75	46.75	42.25	51.00125	-14	-18.25125	-9.5	1	465.8125	436.5	479.5	544.75	533	580.0125	-85.8958333333333	-130.404166666667	-58	2	1751.15	1710	1778.66666666667	1479.6	1479.6	1479.6	271.55	230.4	299.135
